area type,availability,location,size,society,total sqft,bath,balcony,price
super built up  area,ready to move,kaikondrahalli,2 BHK,srsica,991,2.0,0.0,64.0
super built up  area,ready to move,thanisandra,1 BHK,pronyt,662,1.0,0.0,38.0
built up  area,ready to move,nandini layout,2 Bedroom,grrvagr,1200,2.0,1.0,110.0
plot  area,18 apr,tc.palya,3 Bedroom,grrvagr,1400,2.0,1.0,78.0
super built up  area,ready to move,talaghattapura,3 BHK,grrvagr,1575,3.0,2.0,80.0
plot  area,ready to move,hosakerehalli,2 Bedroom,grrvagr,600,2.0,0.0,65.0
plot  area,ready to move,electronic city,5 Bedroom,grrvagr,717,5.0,1.0,78.0
super built up  area,ready to move,ananth nagar,3 BHK,patri m,1319,3.0,1.0,42.0
plot  area,ready to move,brookefield,3 Bedroom,sotus l,2000,3.0,2.0,300.0
plot  area,ready to move,9th phase jp nagar,3 Bedroom,grrvagr,600,3.0,2.0,85.0
super built up  area,ready to move,electronics city phase 1,2 BHK,grrvagr,940,2.0,1.0,48.0
plot  area,ready to move,kodigehalli,2 Bedroom,grrvagr,500,1.0,0.0,55.0
super built up  area,ready to move,bharathi nagar,2 BHK,reudepr,1349,2.0,2.0,56.7
built up  area,18 jun,whitefield,3 Bedroom,grrvagr,3117,3.0,2.0,261.0
super built up  area,ready to move,hsr layout,3 BHK,srisepo,1844,3.0,3.0,95.0
super built up  area,ready to move,sarjapur  road,3 BHK,adeatlm,2275,4.0,2.0,185.0
super built up  area,18 jul,bannerghatta,4 BHK,mamespa,1791 - 4000,2.0,2.0,246.0
super built up  area,18 aug,varthur road,2 BHK,grrvagr,1140,2.0,2.0,49.11
plot  area,ready to move,banjara layout,3 Bedroom,grrvagr,900,3.0,1.0,79.0
super built up  area,ready to move,jaya mahal layout,3 BHK,nehalri,2648,3.0,3.0,238.0
plot  area,ready to move,judicial layout,5 Bedroom,grrvagr,5400,4.0,2.0,700.0
super built up  area,ready to move,banashankari,3 BHK,grrvagr,1372,2.0,2.0,48.02
built up  area,ready to move,sanne amanikere,3 BHK,hoxiaa,1455,2.0,1.0,45.0
super built up  area,ready to move,hebbal,2 BHK,grrvagr,1100,2.0,2.0,38.0
super built up  area,22 jan,vajarahalli,3 BHK,grrvagr,1475,3.0,1.0,80.0
super built up  area,18 apr,nagavarapalya,3 BHK,puonsse,1788,3.0,1.0,164.0
super built up  area,18 aug,kudlu gate,3 BHK,sanzaat,1850,3.0,2.0,120.0
super built up  area,ready to move,marathahalli,3 BHK,cilip j,1315,2.0,2.0,60.0
super built up  area,ready to move,brooke bond first cross,3 BHK,soosea,1721,3.0,2.0,93.0
super built up  area,17 nov,sonnenahalli,2 BHK,skacak,1059,2.0,1.0,62.0
built up  area,ready to move,kadubeesanahalli,2 BHK,skesta,1184,2.0,1.0,55.0
plot  area,ready to move,yelahanka,7 Bedroom,grrvagr,1400,5.0,2.0,175.0
super built up  area,ready to move,koramangala,3 BHK,proodt,2223,3.0,2.0,300.0
built up  area,ready to move,kodbisanhalli,3 BHK,ksideas,1480,3.0,2.0,75.0
super built up  area,ready to move,kodigehalli,2 BHK,raellil,635,1.0,1.0,28.0
plot  area,ready to move,beml layout,2 Bedroom,grrvagr,2400,2.0,1.0,228.0
built up  area,ready to move,jp nagar,4 Bedroom,grrvagr,1500,2.0,0.0,87.0
super built up  area,18 may,hosa road,2 BHK,sstusan,1143,2.0,1.0,34.2
plot  area,ready to move,sarjapur  road,4 Bedroom,grrvagr,3200,4.0,1.0,350.0
plot  area,20 jul,kanakpura road,4 Bedroom,grrvagr,3170,4.0,3.0,250.0
built up  area,ready to move,vaishnavi layout,4 Bedroom,prsisge,4800,4.0,3.0,420.0
super built up  area,ready to move,kothannur,3 BHK,grrvagr,1485,2.0,2.0,59.4
super built up  area,ready to move,rajaji nagar,3 BHK,brway g,1640,3.0,2.0,251.0
super built up  area,ready to move,hennur,3 BHK,grrvagr,1655,2.0,1.0,70.5
super built up  area,22 jun,2nd phase judicial layout,2 BHK,grrvagr,900,2.0,2.0,41.0
built up  area,ready to move,neelamangala,2 BHK,grrvagr,1163,2.0,2.0,68.0
carpet  area,ready to move,yelahanka new town,1 BHK,khatsfl,45.06Sq. Meter,2.0,1.0,18.0
super built up  area,ready to move,hennur road,3 BHK,chionco,1654,3.0,2.0,97.8
super built up  area,18 apr,pragathi nagar,1 BHK,asarkia,799 - 803,1.0,0.0,33.645
built up  area,ready to move,ngef layout,4 Bedroom,grrvagr,2100,3.0,1.0,1000.0
super built up  area,18 jan,bellandur,3 BHK,nicodca,1685,3.0,3.0,101.0
built up  area,ready to move,banashankari,3 BHK,sksia a,1540,3.0,3.0,80.0
super built up  area,18 jan,thanisandra,2 BHK,bhmesy,1265,2.0,1.0,72.0
super built up  area,ready to move,kasavanhalli,3 BHK,grrvagr,1200,2.0,3.0,38.4
built up  area,ready to move,amblipura,3 BHK,suodsac,1300,2.0,1.0,80.0
super built up  area,ready to move,sultan palaya,2 BHK,vaaldak,1009,2.0,1.0,65.0
super built up  area,ready to move,ramamurthy nagar extension,3 BHK,grrvagr,1540,3.0,2.0,65.0
built up  area,ready to move,bellandur,3 BHK,grrvagr,1735,3.0,3.0,105.0
plot  area,ready to move,hsr layout,4 Bedroom,grrvagr,2500,4.0,3.0,300.0
super built up  area,ready to move,marsur,2 BHK,asara s,497,1.0,1.0,20.0
super built up  area,ready to move,hosakerehalli,3 BHK,taonte,2480,4.0,1.0,265.0
built up  area,ready to move,electronic city,2 BHK,vhistal,1142,2.0,0.0,35.0
super built up  area,18 may,doctors layout,3 BHK,grrvagr,1215,2.0,2.0,46.8
super built up  area,ready to move,electronic city,2 BHK,gmown e,1070,2.0,1.0,48.0
super built up  area,18 may,electronic city phase ii,2 BHK,sryalan,1125,2.0,1.0,32.49
built up  area,18 jul,bommasandra industrial area,2 BHK,grrvagr,1125,2.0,1.0,32.49
super built up  area,ready to move,kasavanhalli,2 BHK,doissa,1575,2.0,3.0,85.0
super built up  area,18 dec,hosa road,2 BHK,sjerse,1360,2.0,1.0,77.61
super built up  area,ready to move,haralur road,3 BHK,grrvagr,1710,3.0,2.0,85.0
super built up  area,18 may,electronic city phase ii,2 BHK,sryalan,1200,2.0,1.0,34.65
super built up  area,ready to move,bannerghatta road,4 BHK,snity s,2185,3.0,3.0,120.0
built up  area,ready to move,bagalur,4 BHK,krton s,2400,4.0,3.0,135.0
super built up  area,ready to move,banashankari,2 BHK,grrvagr,1195,2.0,1.0,35.84
super built up  area,ready to move,bannerghatta road,2 BHK,gundaa,1012,2.0,1.0,45.0
super built up  area,ready to move,ganga nagar,2 BHK,grrvagr,998,2.0,2.0,65.0
plot  area,ready to move,doddaballapur,3 Bedroom,grrvagr,2400,3.0,1.0,250.0
super built up  area,ready to move,7th phase jp nagar,2 BHK,brnia g,1130,2.0,2.0,85.0
super built up  area,ready to move,koramangala,3 BHK,proodt,1744,4.0,1.0,210.0
super built up  area,18 jul,rajaji nagar,4 BHK,prodswe,2733,5.0,2.0,259.0
super built up  area,ready to move,karuna nagar,3 BHK,ajnue a,1354,2.0,1.0,98.0
plot  area,ready to move,maruthi nagar,10 Bedroom,grrvagr,3300,9.0,2.0,450.0
super built up  area,ready to move,brookefield,2 BHK,stlomg,1389,2.0,2.0,94.0
plot  area,ready to move,sarjapur,4 Bedroom,puodsm,2970,3.0,3.0,130.0
super built up  area,ready to move,cooke town,3 BHK,sagalhi,2560,4.0,2.0,310.0
super built up  area,ready to move,lakshminarayana pura,2 BHK,grrvagr,1172,2.0,2.0,75.0
plot  area,ready to move,5th block jayanagar,3 Bedroom,grrvagr,500,2.0,1.0,75.0
super built up  area,ready to move,kaggadasapura,3 BHK,grrvagr,1495,3.0,2.0,60.0
super built up  area,ready to move,varthur,2 BHK,dsingst,1738,2.0,1.0,57.35
super built up  area,ready to move,dodda nekkundi,2 BHK,grrvagr,1315,2.0,2.0,50.0
super built up  area,ready to move,marathahalli,2 BHK,xeitaa,1270,2.0,3.0,73.0
super built up  area,18 may,electronic city phase ii,2 BHK,snbay g,1160,2.0,1.0,52.2
super built up  area,ready to move,raja rajeshwari nagar,3 BHK,grrvagr,1450,2.0,1.0,67.0
built up  area,ready to move,rayasandra,1 BHK,grrvagr,470,1.0,1.0,21.0
built up  area,ready to move,2nd phase jp nagar,2 BHK,grrvagr,1040,2.0,2.0,78.0
super built up  area,ready to move,sarjapur,2 BHK,grrvagr,1205,2.0,2.0,29.0
super built up  area,ready to move,ksrtc layout,3 BHK,grrvagr,1215,2.0,3.0,50.0
super built up  area,ready to move,whitefield,2 BHK,maoma p,1135,2.0,2.0,58.0
super built up  area,ready to move,8th phase jp nagar,3 BHK,mbodsen,1224,2.0,2.0,48.95
built up  area,ready to move,budigere,1 BHK,pritytr,664,1.0,1.0,34.0
super built up  area,ready to move,electronic city,3 BHK,itvir m,1160,2.0,2.0,42.0
plot  area,ready to move,babusapalaya,2 Bedroom,grrvagr,1200,2.0,0.0,105.0
built up  area,18 aug,bommasandra industrial area,3 BHK,grrvagr,1220,2.0,1.0,35.2
super built up  area,ready to move,bharathi nagar,2 BHK,foapewa,1328,2.0,2.0,69.0
super built up  area,ready to move,bsm extension,2 BHK,raave e,975,2.0,2.0,45.0
built up  area,ready to move,ambedkar colony,3 BHK,rmcesa,1907,2.0,1.0,200.0
built up  area,ready to move,malleshwaram,2 BHK,beesta,900,2.0,1.0,72.0
super built up  area,ready to move,banashankari 6th stage,2 BHK,grrvagr,1330,2.0,2.0,80.0
super built up  area,ready to move,rajiv nagar,4 BHK,puoodsk,2330,5.0,1.0,175.0
built up  area,ready to move,munnekollal,3 BHK,jrarlpe,1222,3.0,2.0,95.0
plot  area,ready to move,dodsworth layout,3 Bedroom,prleaou,4446,3.0,2.0,410.0
super built up  area,ready to move,sarjapur  road,3 BHK,ahriaup,2100,3.0,1.0,135.0
super built up  area,ready to move,sarjapur  road,4 BHK,adeatlm,3335,4.0,3.0,290.0
built up  area,18 apr,whitefield,3 Bedroom,prtates,3150,3.0,1.0,290.0
plot  area,ready to move,jnana ganga nagar,3 Bedroom,grrvagr,1320,2.0,1.0,95.0
plot  area,ready to move,9th phase jp nagar,7 Bedroom,grrvagr,820,7.0,3.0,140.0
plot  area,ready to move,shetty halli,5 Bedroom,grrvagr,8000,5.0,3.0,550.0
plot  area,ready to move,hennur road,4 Bedroom,grrvagr,2400,5.0,3.0,500.0
plot  area,ready to move,hosur road,4 Bedroom,krineaq,2000,4.0,1.0,130.0
super built up  area,18 jun,electronic city phase ii,2 BHK,coomee,1244,2.0,1.0,55.0
super built up  area,ready to move,konena agrahara,2 BHK,esadens,1000,2.0,1.0,50.0
super built up  area,18 may,gunjur palya,3 BHK,grrvagr,1400,3.0,2.0,45.0
super built up  area,ready to move,vignana nagar,2 BHK,phens g,1000,2.0,2.0,35.0
plot  area,ready to move,rajaji nagar,2 Bedroom,grrvagr,1056,1.0,0.0,250.0
super built up  area,19 jun,hebbal,4 BHK,raard b,2470 - 2790,5.0,0.0,188.0
super built up  area,18 aug,jeevan bima nagar,2 BHK,grrvagr,1225,2.0,2.0,48.0
super built up  area,19 jun,hebbal,4 BHK,raard b,2790,5.0,3.0,198.0
super built up  area,ready to move,indira nagar,4 BHK,grrvagr,2800,4.0,3.0,365.0
super built up  area,ready to move,seegehalli,3 BHK,niowshi,1683,3.0,3.0,80.0
built up  area,ready to move,yelahanka,2 BHK,adniask,1250,2.0,2.0,54.0
super built up  area,ready to move,hennur road,3 BHK,maity w,1305,2.0,1.0,110.0
plot  area,ready to move,sarjapur  road,3 Bedroom,grrvagr,3009,3.0,1.0,331.0
super built up  area,ready to move,kaggalipura,3 BHK,baowsig,1150,2.0,1.0,57.5
built up  area,ready to move,kaggadasapura,3 BHK,clsto c,1654,3.0,3.0,70.0
carpet  area,ready to move,munivenkatppa layout,4 BHK,trntska,4500,3.0,0.0,225.0
super built up  area,18 may,kadugodi,3 BHK,alestrb,1890,4.0,3.0,125.0
super built up  area,ready to move,kasavanhalli,2 BHK,grrvagr,1069,2.0,2.0,55.0
super built up  area,ready to move,chandapura,2 BHK,khityry,750,1.0,1.0,18.5
plot  area,ready to move,banashankari,4 Bedroom,grrvagr,675,4.0,0.0,140.0
built up  area,17 dec,hormavu,3 Bedroom,grrvagr,2400,3.0,1.0,177.0
plot  area,ready to move,2nd stage nagarbhavi,5 Bedroom,grrvagr,1200,4.0,2.0,240.0
plot  area,ready to move,koramangala,4 Bedroom,grrvagr,1410,2.0,0.0,280.0
super built up  area,ready to move,7th phase jp nagar,3 BHK,eladero,1680,3.0,3.0,130.0
super built up  area,ready to move,sadanand nagar,3 BHK,grrvagr,3500,4.0,2.0,500.0
super built up  area,18 jul,sarjapur  road,3 BHK,pualesk,1700,3.0,2.0,93.5
plot  area,ready to move,brindavan layout,4 Bedroom,grrvagr,2200,2.0,0.0,150.0
super built up  area,ready to move,thanisandra,3 BHK,bhmesy,1595,3.0,1.0,105.0
super built up  area,15 nov,hennur road,3 BHK,grrvagr,1480,3.0,2.0,100.0
plot  area,ready to move,bethel nagar,3 Bedroom,grrvagr,1092,3.0,1.0,95.0
super built up  area,19 sep,koramangala,3 BHK,prood p,1866,4.0,2.0,245.0
super built up  area,ready to move,hebbal,3 BHK,rmudeat,3895,3.0,2.0,390.0
super built up  area,ready to move,banashankari,3 BHK,grrvagr,1683,3.0,2.0,115.0
super built up  area,ready to move,dasanapura,2 BHK,tavenew,545,2.0,1.0,22.34
super built up  area,ready to move,banaswadi,2 BHK,grrvagr,1340,2.0,2.0,73.0
built up  area,21 dec,"judicial layout, kanakapura road,",3 BHK,grrvagr,1100,3.0,2.0,53.0
plot  area,ready to move,akshaya nagar,1 Bedroom,grrvagr,2000,1.0,0.0,200.0
super built up  area,ready to move,whitefield,2 BHK,sriffhi,1185,2.0,2.0,56.0
super built up  area,ready to move,haralur road,3 BHK,dsimaul,1730,3.0,1.0,95.0
super built up  area,19 sep,hennur road,3 BHK,orens g,1450,3.0,1.0,88.6
super built up  area,ready to move,sarjapur  road,3 BHK,ceiti i,1862,4.0,1.0,110.0
plot  area,ready to move,sarjapur  road,4 Bedroom,adeatlm,4000,5.0,1.0,578.0
built up  area,ready to move,old madras road,3 BHK,brica e,2430,5.0,2.0,180.0
super built up  area,20 sep,hoodi,1 BHK,ranuetz,783 - 943,1.0,0.0,40.55
super built up  area,ready to move,chambenahalli,2 BHK,grrvagr,1170,2.0,3.0,50.0
super built up  area,ready to move,b narayanapura,2 BHK,prionve,1075,2.0,2.0,50.0
super built up  area,ready to move,kodichikkanahalli,2 BHK,niiewin,1060,2.0,1.0,34.0
super built up  area,17 jun,sarjapur,2 BHK,grrvagr,850,2.0,2.0,32.0
super built up  area,ready to move,p&t layout,2 BHK,sashaa,935,2.0,1.0,45.9
built up  area,ready to move,gollarapalya hosahalli,4 BHK,mauner,1905,3.0,2.0,86.0
built up  area,ready to move,8th block jayanagar,6 Bedroom,grrvagr,2000,6.0,3.0,300.0
plot  area,ready to move,9th phase jp nagar,6 Bedroom,grrvagr,600,6.0,2.0,75.0
built up  area,ready to move,chikkabanavar,4 Bedroom,grrvagr,1500,4.0,1.0,105.0
built up  area,ready to move,bannerghatta road,3 BHK,malmser,1725,3.0,3.0,85.0
super built up  area,ready to move,dodda banaswadi,2 BHK,grrvagr,1120,2.0,3.0,36.0
super built up  area,ready to move,brookefield,3 BHK,vaontos,1750,2.0,2.0,75.0
super built up  area,18 jul,7th phase jp nagar,3 BHK,grrvagr,2000,3.0,2.0,77.0
built up  area,ready to move,koramangala,3 BHK,saa 2ai,1745,3.0,3.0,98.0
plot  area,ready to move,bagalakunte,5 Bedroom,grrvagr,750,3.0,1.0,95.0
super built up  area,ready to move,uttarahalli,3 BHK,ayaya a,1270,2.0,2.0,55.25
super built up  area,ready to move,iblur village,5 BHK,emine p,5384,5.0,3.0,420.0
super built up  area,ready to move,sahakara nagar,2 BHK,ncensun,1180,2.0,2.0,72.0
built up  area,ready to move,shanti nagar,2 BHK,swionma,1130,2.0,1.0,75.0
super built up  area,ready to move,ardendale,3 BHK,soystam,1723,3.0,2.0,95.0
built up  area,ready to move,mysore road,2 BHK,prntaen,1175,2.0,2.0,70.5
super built up  area,ready to move,ambalipura,3 BHK,dimes e,1607,2.0,2.0,112.0
built up  area,18 may,varanasi,2 BHK,ocuil t,1334,2.0,1.0,62.0
built up  area,ready to move,vishwapriya layout,5 Bedroom,grrvagr,2800,5.0,3.0,130.0
super built up  area,19 dec,bannerghatta,2 BHK,grrvagr,1113,2.0,1.0,70.0
built up  area,ready to move,9th phase jp nagar,3 BHK,naensga,1300,2.0,2.0,58.0
plot  area,ready to move,judicial layout,4 Bedroom,grrvagr,2400,4.0,2.0,350.0
built up  area,ready to move,sahakara nagar,2 BHK,grrvagr,1200,2.0,2.0,60.0
super built up  area,ready to move,cooketown,3 BHK,grrvagr,1900,3.0,2.0,190.0
super built up  area,ready to move,jakkur,4 BHK,lecco c,5150,4.0,3.0,559.0
plot  area,ready to move,2nd stage nagarbhavi,5 Bedroom,grrvagr,1200,5.0,2.0,290.0
super built up  area,18 dec,whitefield,4 BHK,goted u,2956,5.0,2.0,234.0
plot  area,ready to move,begur road,5 Bedroom,grrvagr,1100,5.0,1.0,165.0
super built up  area,18 may,panathur,2 BHK,prcesvy,1398,2.0,1.0,97.0
plot  area,ready to move,margondanahalli,2 Bedroom,grrvagr,1152,1.0,0.0,66.0
plot  area,ready to move,rajarajeshwarinagar,4 Bedroom,grrvagr,1200,5.0,2.0,325.0
super built up  area,ready to move,nagavara,2 BHK,grrvagr,1110,2.0,2.0,44.95
built up  area,ready to move,devarachikkanahalli,2 BHK,sarch m,1116,2.0,1.0,47.0
super built up  area,ready to move,babusapalaya,2 BHK,arngsd,1061,2.0,1.0,33.84
super built up  area,ready to move,malleshwaram,1 BHK,grrvagr,620,1.0,1.0,86.8
built up  area,ready to move,yelahanka,2 BHK,shana s,1270,2.0,2.0,57.0
super built up  area,18 apr,peenya,2 BHK,grrvagr,966,2.0,2.0,50.0
plot  area,ready to move,ams layout,4 Bedroom,grrvagr,1200,4.0,1.0,110.0
plot  area,ready to move,kodigehalli,4 Bedroom,grrvagr,1320,4.0,3.0,249.0
super built up  area,ready to move,iblur village,4 BHK,emine p,3596,5.0,1.0,297.0
super built up  area,18 may,kathriguppe iv phase,3 BHK,grrvagr,1630,3.0,2.0,131.0
super built up  area,ready to move,kodipalya,5 BHK,grrvagr,600,6.0,3.0,72.0
plot  area,ready to move,ramchandrapuram,4 Bedroom,grrvagr,600,4.0,2.0,60.0
super built up  area,ready to move,amruthahalli,2 BHK,veiewak,1202,2.0,1.0,65.0
plot  area,ready to move,pampa extension,4 Bedroom,grrvagr,1200,4.0,2.0,250.0
built up  area,ready to move,jakkur,2 BHK,grrvagr,1300,2.0,2.0,80.0
plot  area,ready to move,uttarahalli,6 Bedroom,grrvagr,1200,6.0,2.0,330.0
super built up  area,ready to move,electronic city,3 BHK,gmown e,1360,2.0,1.0,70.0
super built up  area,ready to move,hennur road,2 BHK,mileeou,1155,2.0,1.0,69.18
super built up  area,ready to move,hosakerehalli,3 BHK,taonte,2378,3.0,1.0,310.0
super built up  area,ready to move,hulimavu,2 BHK,mbrryst,1011,2.0,2.0,38.0
built up  area,ready to move,hsr layout,2 BHK,vaiewv,1203,2.0,2.0,72.0
super built up  area,19 dec,hebbal,3 BHK,raard b,1645,3.0,2.0,113.0
super built up  area,ready to move,horamavu agara,3 BHK,honcyju,1364,2.0,3.0,50.0
built up  area,ready to move,kr layout,1 BHK,grrvagr,1050,2.0,2.0,41.0
super built up  area,ready to move,kothanur,3 BHK,grrvagr,1365,3.0,3.0,66.0
super built up  area,ready to move,jigani,3 BHK,dlhtsen,1252,3.0,3.0,70.0
built up  area,ready to move,panathur,2 BHK,grrvagr,1065,2.0,1.0,58.0
super built up  area,ready to move,uttarahalli,3 BHK,ayaya a,1270,2.0,1.0,55.25
built up  area,ready to move,sahakara nagar,2 BHK,kversuj,1032,2.0,2.0,45.0
super built up  area,ready to move,frazer town,4 BHK,grrvagr,2900,4.0,2.0,325.0
super built up  area,ready to move,sector 2 hsr layout,3 BHK,ndivaol,1515,2.0,3.0,69.0
super built up  area,ready to move,akshaya vana,2 BHK,daganva,1427,2.0,2.0,52.0
super built up  area,ready to move,magadi road,2 BHK,grrvagr,940,2.0,2.0,50.0
plot  area,18 mar,medahalli,5 Bedroom,grrvagr,800,5.0,1.0,95.0
super built up  area,ready to move,bannerghatta road,3 BHK,snity s,1460,2.0,2.0,80.0
super built up  area,ready to move,sarjapur  road,3 BHK,adeatlm,2275,4.0,2.0,175.0
super built up  area,21 sep,9th phase jp nagar,3 BHK,vasisvi,1522,3.0,2.0,90.0
plot  area,19 jan,basaveshwara nagar yelahanka,3 Bedroom,grrvagr,3210,4.0,2.0,380.0
super built up  area,ready to move,thanisandra,2 BHK,menueno,1185,2.0,2.0,42.67
super built up  area,ready to move,1hoysalanagar,13 BHK,grrvagr,5425,13.0,0.0,275.0
built up  area,ready to move,banashankari,3 BHK,bregae,1800,3.0,2.0,125.0
super built up  area,17 may,electronics city phase 1,2 BHK,grrvagr,940,2.0,1.0,44.0
plot  area,ready to move,andrahalli,4 Bedroom,grrvagr,1200,4.0,2.0,135.0
super built up  area,ready to move,marathahalli,3 BHK,grrvagr,1530,3.0,2.0,71.0
built up  area,ready to move,gollahalli,2 BHK,viine p,1050,2.0,1.0,48.0
super built up  area,ready to move,subramanyapura,2 BHK,prldsri,929,2.0,2.0,49.0
built up  area,ready to move,banjara layout,4 Bedroom,grrvagr,3750,5.0,3.0,145.0
super built up  area,ready to move,whitefield,3 BHK,paantpl,1530,3.0,3.0,75.0
plot  area,ready to move,pc palaya,2 Bedroom,grrvagr,900,2.0,1.0,48.0
super built up  area,ready to move,vasanthapura,2 BHK,grrvagr,978,2.0,1.0,34.22
built up  area,ready to move,sathya sai layout,4 BHK,prowshi,4041,4.0,2.0,345.0
super built up  area,ready to move,ambalipura,1 BHK,grrvagr,770,1.0,2.0,43.82
built up  area,ready to move,kaval byrasandra,2 BHK,grrvagr,1066,2.0,3.0,55.0
super built up  area,ready to move,electronic city,1 BHK,palleon,635,1.0,0.0,28.0
super built up  area,ready to move,whitefield,2 BHK,arria g,1015,2.0,1.0,45.0
built up  area,ready to move,hebbal,2 BHK,ararasa,1175,2.0,0.0,54.05
plot  area,ready to move,chikkabanavar,4 Bedroom,grrvagr,1200,4.0,2.0,130.0
super built up  area,18 may,vidyaranyapura,2 BHK,grrvagr,1188,2.0,1.0,50.0
plot  area,ready to move,indira nagar,5 Bedroom,grrvagr,2400,5.0,2.0,700.0
super built up  area,19 oct,soppahalli,1 BHK,grrvagr,620,1.0,1.0,25.0
built up  area,ready to move,ejipura,2 BHK,prsichi,1210,2.0,0.0,75.0
plot  area,18 apr,attibele,3 Bedroom,goe 2me,1000,3.0,1.0,90.0
super built up  area,ready to move,rajaji nagar,3 BHK,suavea,1500,2.0,2.0,99.0
plot  area,ready to move,electronic city,4 Bedroom,aroveth,1800,3.0,2.0,190.0
super built up  area,ready to move,thanisandra,2 BHK,menueno,1185,2.0,2.0,43.66
built up  area,ready to move,basavangudi,3 BHK,v2lasna,1600,3.0,3.0,130.0
super built up  area,ready to move,gottigere,2 BHK,grrvagr,1100,2.0,1.0,28.0
super built up  area,ready to move,yelahanka,2 BHK,jatish,1300,2.0,2.0,69.23
super built up  area,ready to move,kasavanhalli,2 BHK,msopsw,1100,2.0,1.0,68.0
super built up  area,19 apr,ambalipura,2 BHK,sisice,860,2.0,1.0,28.93
super built up  area,18 jun,panathur,2 BHK,grrvagr,1007,2.0,1.0,64.0
super built up  area,ready to move,akshaya nagar,2 BHK,sagassa,1100,2.0,2.0,48.0
super built up  area,ready to move,whitefield,2 BHK,smuilan,1187,2.0,1.0,38.0
super built up  area,ready to move,r.t. nagar,2 BHK,grrvagr,1150,2.0,2.0,72.0
super built up  area,ready to move,nagavara,3 BHK,vancyat,2400,3.0,2.0,252.0
super built up  area,18 apr,aavalahalli,2 BHK,grrvagr,1180,2.0,3.0,41.94
super built up  area,ready to move,budigere,3 BHK,pritytr,1820,3.0,2.0,85.2
plot  area,ready to move,hennur bande,6 Bedroom,grrvagr,1200,6.0,3.0,180.0
plot  area,ready to move,sector 1 hsr layout,3 Bedroom,grrvagr,2400,6.0,2.0,775.0
super built up  area,ready to move,kr puram,4 BHK,grrvagr,3628,4.0,1.0,246.0
built up  area,ready to move,kodbisanhalli,3 BHK,ksideas,1430,3.0,2.0,70.0
super built up  area,21 jan,kanakpura road,2 BHK,prarepa,700,2.0,1.0,40.0
plot  area,ready to move,kattigenahalli,2 Bedroom,grrvagr,1200,1.0,0.0,70.0
super built up  area,20 dec,old madras road,2 BHK,shmes o,1165,2.0,1.0,40.77
super built up  area,ready to move,jalahalli,3 BHK,grrvagr,1569,3.0,2.0,118.0
super built up  area,ready to move,basaveshwara nagar yelahanka,3 BHK,grrvagr,1950,4.0,3.0,95.0
plot  area,ready to move,jayanti nagar,2 Bedroom,grrvagr,1200,3.0,1.0,70.0
super built up  area,ready to move,yelahanka new town,3 BHK,grrvagr,2437,3.0,2.0,125.0
super built up  area,ready to move,marathahalli,2 BHK,grrvagr,950,2.0,2.0,46.7
built up  area,18 jul,bellandur,3 BHK,nicodca,1685,3.0,3.0,115.0
super built up  area,ready to move,green glen layout,4 BHK,grrvagr,3270,4.0,3.0,205.0
super built up  area,ready to move,sarjapur  road,2 BHK,maantr,1314,2.0,2.0,110.0
super built up  area,18 may,new gurappana palya,3 BHK,grrvagr,1250,3.0,2.0,40.0
built up  area,ready to move,virudhu nagar,2 BHK,amthain,1130,2.0,2.0,68.0
plot  area,ready to move,doddakannelli,6 Bedroom,grrvagr,1200,9.0,3.0,122.0
plot  area,ready to move,sultan palaya,6 Bedroom,grrvagr,890,5.0,2.0,160.0
plot  area,ready to move,kamanahalli main road,3 Bedroom,grrvagr,857,3.0,2.0,95.0
super built up  area,ready to move,whitefield,3 BHK,santste,2247,3.0,2.0,145.0
super built up  area,ready to move,marathahalli,3 BHK,valdsic,1550,3.0,2.0,85.0
super built up  area,ready to move,hoodi,3 BHK,smaxyay,1715,2.0,2.0,100.0
super built up  area,ready to move,hennur road,2 BHK,koagati,1053,2.0,1.0,53.0
plot  area,ready to move,begur road,3 Bedroom,grrvagr,1200,3.0,0.0,50.0
plot  area,ready to move,hbr layout,3 Bedroom,grrvagr,1800,2.0,1.0,230.0
built up  area,ready to move,chikkabanavar,5 Bedroom,grrvagr,2400,4.0,0.0,97.0
super built up  area,ready to move,kodbisanhalli,2 BHK,seityen,1245,1.0,3.0,60.0
plot  area,ready to move,whitefield,4 Bedroom,proaksi,3940,5.0,3.0,265.0
built up  area,ready to move,thanisandra,3 BHK,pronyt,1241,2.0,1.0,65.0
built up  area,ready to move,7th phase jp nagar,3 BHK,briummi,2980,4.0,2.0,260.0
plot  area,ready to move,7th block koramangala,6 Bedroom,grrvagr,600,5.0,3.0,130.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,vaw 1il,1090,2.0,2.0,57.0
super built up  area,ready to move,byrasandra,3 BHK,viisepa,1390,2.0,1.0,50.0
plot  area,ready to move,sampangi rama nagar,8 Bedroom,grrvagr,600,4.0,3.0,175.0
super built up  area,ready to move,jakkur plantation,3 BHK,leora d,2750,5.0,2.0,275.0
super built up  area,21 dec,kanakpura road,3 BHK,prarepa,1100,2.0,1.0,52.97
built up  area,ready to move,koramangala,2 BHK,hawerma,1350,2.0,2.0,103.0
built up  area,ready to move,prakash nagar,2 BHK,grrvagr,800,2.0,2.0,55.0
super built up  area,ready to move,sarjapur  road,3 BHK,klark l,1787,3.0,2.0,116.0
